Model,TP,TN,FP,FN,Misclass Rate,AUC,Accuracy,Sensitivity,Specificity,Precision,Fall-out,FDR,Miss Rate,F Measure,MCC,Mailings,Profit
10d,0.983333333,0.646875,0.646875,0.983333333,0.871310508,0.872986985,0.871310508,0.983333333,0.646875,0.80567566,0.646875,0.80567566,0.983333333,0.904332819,0.896810999,0.627906977,0.967881408
10c,0.981481481,0.646875,0.646875,0.981481481,0.87012987,0.871797529,0.87012987,0.981481481,0.646875,0.805150755,0.646875,0.805150755,0.981481481,0.903197109,0.895318773,0.625968992,0.966165672
10f,0.981481481,0.646875,0.646875,0.981481481,0.87012987,0.871797529,0.87012987,0.981481481,0.646875,0.805150755,0.646875,0.805150755,0.981481481,0.903197109,0.895318773,0.625968992,0.966165672
2c,1,0.596875,0.596875,1,0.863046045,0.865034383,0.863046045,1,0.596875,0.78542591,0.596875,0.78542591,1,0.901082292,0.895551788,0.676356589,0.978930753
1c,1,0.565625,0.565625,1,0.851239669,0.853373196,0.851239669,1,0.565625,0.770140663,0.565625,0.770140663,1,0.892782946,0.886360369,0.695736434,0.976185574
1a,0.983333333,0.590625,0.590625,0.983333333,0.850059032,0.851997181,0.850059032,0.983333333,0.590625,0.777536013,0.590625,0.777536013,0.983333333,0.889259773,0.880000672,0.662790698,0.962940086
8a,0.998148148,0.553125,0.553125,0.998148148,0.845336482,0.847519312,0.845336482,0.998148148,0.553125,0.763549413,0.553125,0.763549413,0.998148148,0.888359823,0.881146427,0.701550388,0.973371766
6a,1,0.540625,0.540625,1,0.841794569,0.844044341,0.841794569,1,0.540625,0.758075027,0.540625,0.758075027,1,0.886194259,0.879030324,0.71124031,0.973989431
9a,0.940740741,0.496875,0.496875,0.940740741,0.787485242,0.789656127,0.787485242,0.940740741,0.496875,0.719191891,0.496875,0.719191891,0.940740741,0.838428071,0.817117022,0.676356589,0.915242605
3a,0.942592593,0.3875,0.3875,0.942592593,0.747343566,0.750031667,0.747343566,0.942592593,0.3875,0.668961209,0.3875,0.668961209,0.942592593,0.811757582,0.785566201,0.746124031,0.907350216
9b,0.881481481,0.453125,0.453125,0.881481481,0.733175915,0.735267913,0.733175915,0.881481481,0.453125,0.679246697,0.453125,0.679246697,0.881481481,0.789919724,0.756289801,0.641472868,0.856495779
9c,0.881481481,0.453125,0.453125,0.881481481,0.733175915,0.735267913,0.733175915,0.881481481,0.453125,0.679246697,0.453125,0.679246697,0.881481481,0.789919724,0.756289801,0.641472868,0.856495779
4c,0.483903421,0.366004963,0.953095685,0.891743119,0.934137291,0.43485684,0.434247342,0.483903421,0.366004963,0.410319393,0.953095685,0.954619127,0.891743119,0.451294407,0.992598388,0.123752495,0.555088486
3b,0.97962963,0.040625,0.040625,0.97962963,0.639905549,0.644382522,0.639905549,0.97962963,0.040625,0.536588382,0.040625,0.536588382,0.97962963,0.751080431,0.715710004,1,0.911193466
3c,0.968518519,0.021875,0.021875,0.968518519,0.625737898,0.630249025,0.625737898,0.968518519,0.021875,0.525549379,0.021875,0.525549379,0.968518519,0.740116882,0.699754072,1,0.899251939
5b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
