Model,TP,TN,FP,FN,Misclass Rate,AUC,Accuracy,Sensitivity,Specificity,Precision,Fall-out,FDR,Miss Rate,F Measure,MCC,Mailings,Profit
4h,0.921529175,0.938031592,0.848664688,0.855555556,0.883116883,0.944481796,0.944599888,0.921529175,0.938031592,0.958630138,0.848664688,0.906008985,0.855555556,0.947129597,0.868032245,0.773785762,0.921097986
10e,0.987927565,0.862697448,0.664688427,0.977777778,0.887839433,0.947427276,0.946838276,0.987927565,0.862697448,0.925807223,0.664688427,0.831436364,0.977777778,0.958618111,0.900384009,0.858948769,0.980032788
14b,0.998993964,0.849331713,0.632047478,0.998148148,0.887839433,0.947549123,0.946838276,0.998993964,0.849331713,0.920491626,0.632047478,0.819359495,0.998148148,0.960132218,0.90692053,0.873586161,0.989743159
7a,0.99195171,0.856622114,0.649851632,0.985185185,0.886658796,0.946918069,0.946278679,0.99195171,0.856622114,0.92314279,0.649851632,0.825382856,0.985185185,0.958754837,0.901668779,0.864936793,0.983395687
2a,0.986921529,0.861482382,0.661721068,0.975925926,0.885478158,0.946309142,0.945719082,0.986921529,0.861482382,0.924864446,0.661721068,0.829294404,0.975925926,0.957641921,0.897758197,0.858948769,0.978813737
14e,0.998993964,0.844471446,0.620178042,0.998148148,0.883116883,0.945335067,0.944599888,0.998993964,0.844471446,0.917695903,0.620178042,0.813007702,0.998148148,0.958473959,0.902879533,0.876247505,0.989070579
4b,0.904426559,0.941676792,0.857566766,0.824074074,0.866587957,0.936544194,0.936765529,0.904426559,0.941676792,0.957301591,0.857566766,0.902990569,0.824074074,0.938231154,0.847470979,0.760479042,0.903737021
10a,0.990945674,0.842041312,0.614243323,0.983333333,0.871310508,0.939711225,0.939003917,0.990945674,0.842041312,0.914468727,0.614243323,0.80567566,0.983333333,0.9532216,0.887805067,0.872255489,0.980327042
10d,0.990945674,0.842041312,0.614243323,0.983333333,0.871310508,0.939711225,0.939003917,0.990945674,0.842041312,0.914468727,0.614243323,0.80567566,0.983333333,0.9532216,0.887805067,0.872255489,0.980327042
10c,0.989939638,0.842041312,0.614243323,0.981481481,0.87012987,0.939146631,0.93844432,0.989939638,0.842041312,0.914237692,0.614243323,0.805150755,0.981481481,0.952666272,0.886182605,0.871590153,0.979276136
10f,0.989939638,0.842041312,0.614243323,0.981481481,0.87012987,0.939146631,0.93844432,0.989939638,0.842041312,0.914237692,0.614243323,0.805150755,0.981481481,0.952666272,0.886182605,0.871590153,0.979276136
2c,1,0.822600243,0.566765579,1,0.863046045,0.935936395,0.935086738,1,0.822600243,0.905555861,0.566765579,0.78542591,1,0.951632189,0.886435957,0.888888889,0.987094876
13e,0.985915493,0.835965978,0.599406528,0.974074074,0.859504132,0.934120734,0.933407946,0.985915493,0.835965978,0.909826754,0.599406528,0.795129244,0.974074074,0.948382912,0.874593545,0.872255489,0.974231788
1c,1,0.810449575,0.537091988,1,0.851239669,0.930401224,0.929490767,1,0.810449575,0.898828105,0.537091988,0.770140663,1,0.947574056,0.876442347,0.895542249,0.985413426
1a,0.990945674,0.820170109,0.560830861,0.983333333,0.850059032,0.929748077,0.92893117,0.990945674,0.820170109,0.902083146,0.560830861,0.777536013,0.983333333,0.94585133,0.8695276,0.884231537,0.977300433
13b,0.989939638,0.816524909,0.551928783,0.981481481,0.845336482,0.927522894,0.926692781,0.989939638,0.816524909,0.899813205,0.551928783,0.772378779,0.981481481,0.944080009,0.864843699,0.885562209,0.975745092
8a,0.998993964,0.805589307,0.525222552,0.998148148,0.845336482,0.927622584,0.926692781,0.998993964,0.805589307,0.895926986,0.525222552,0.763549413,0.998148148,0.945411281,0.870773353,0.897538257,0.983689941
6a,1,0.80072904,0.513353116,1,0.841794569,0.925973133,0.92501399,1,0.80072904,0.893517452,0.513353116,0.758075027,1,0.944352385,0.868472565,0.900864937,0.984068267
14a,0.990945674,0.801944107,0.516320475,0.983333333,0.832349469,0.921445323,0.920537213,0.990945674,0.801944107,0.892015254,0.516320475,0.754662081,0.983333333,0.939795944,0.854383144,0.894211577,0.974778259
14d,0.990945674,0.80072904,0.513353116,0.983333333,0.831168831,0.92089181,0.919977616,0.990945674,0.80072904,0.891352046,0.513353116,0.753155293,0.983333333,0.939395007,0.853376117,0.894876913,0.974610114
15f,0.994969819,0.795868773,0.50148368,0.990740741,0.831168831,0.920936135,0.919977616,0.994969819,0.795868773,0.889679973,0.50148368,0.749356396,0.990740741,0.940001612,0.856058369,0.900199601,0.978141158
15b,0.994969819,0.793438639,0.495548961,0.990740741,0.828807556,0.919829108,0.918858422,0.994969819,0.793438639,0.888366792,0.495548961,0.746372891,0.990740741,0.93920297,0.854058315,0.901530273,0.977804868
14c,0.998993964,0.788578372,0.483679525,0.998148148,0.828807556,0.919873433,0.918858422,0.998993964,0.788578372,0.886724508,0.483679525,0.742641674,0.998148148,0.939807658,0.856839463,0.906852961,0.981335912
14f,0.998993964,0.788578372,0.483679525,0.998148148,0.828807556,0.919873433,0.918858422,0.998993964,0.788578372,0.886724508,0.483679525,0.742641674,0.998148148,0.939807658,0.856839463,0.906852961,0.981335912
15e,0.993963783,0.787363305,0.480712166,0.988888889,0.821723731,0.916496943,0.915500839,0.993963783,0.787363305,0.884856422,0.480712166,0.738397442,0.988888889,0.936661712,0.847373803,0.904191617,0.975913237
15a,0.997987928,0.759416768,0.412462908,0.996296296,0.799291617,0.906024507,0.904868495,0.997987928,0.759416768,0.871131587,0.412462908,0.707215051,0.996296296,0.929807218,0.831357907,0.922155689,0.976249527
15c,0.997987928,0.759416768,0.412462908,0.996296296,0.799291617,0.906024507,0.904868495,0.997987928,0.759416768,0.871131587,0.412462908,0.707215051,0.996296296,0.929807218,0.831357907,0.922155689,0.976249527
9a,0.967806841,0.783718104,0.471810089,0.940740741,0.787485242,0.900156891,0.899272524,0.967806841,0.783718104,0.876403157,0.471810089,0.719191891,0.940740741,0.920996143,0.801155712,0.888888889,0.948085249
15d,1,0.744835966,0.376854599,1,0.787485242,0.900511532,0.899272524,1,0.744835966,0.864159021,0.376854599,0.691373604,1,0.926244753,0.823023093,0.931470393,0.9763336
3a,0.968812877,0.741190765,0.367952522,0.942592593,0.747343566,0.881348502,0.880246223,0.968812877,0.741190765,0.854294273,0.367952522,0.668961209,0.942592593,0.907955069,0.766851258,0.912840985,0.943251082
9b,0.935613682,0.766707169,0.430267062,0.881481481,0.733175915,0.874340648,0.873531058,0.935613682,0.766707169,0.8588214,0.430267062,0.679246697,0.881481481,0.897277007,0.735019729,0.876912841,0.912102232
9c,0.935613682,0.766707169,0.430267062,0.881481481,0.733175915,0.874340648,0.873531058,0.935613682,0.766707169,0.8588214,0.430267062,0.679246697,0.881481481,0.897277007,0.735019729,0.876912841,0.912102232
3b,0.988933602,0.606318348,0.038575668,0.97962963,0.639905549,0.831200433,0.829322888,0.988933602,0.606318348,0.796030772,0.038575668,0.536588382,0.97962963,0.878285751,0.690898286,1,0.945605112
3c,0.982897384,0.599027947,0.020771513,0.968518519,0.625737898,0.824491741,0.822607722,0.982897384,0.599027947,0.791171988,0.020771513,0.525549379,0.968518519,0.872924902,0.673549783,1,0.938290807
5b,0.456740443,0.590522479,0,0,0,0.525333884,0.526021265,0.456740443,0.590522479,0.559853013,0,0,0,0.511029808,-0.087276085,0.656686627,0.387490016
